PRODUCTO,DESCRIPCION,ETIQUETA
Capuccino caliente,"Espresso con leche cremada y una capa de espuma sedosa.",
Capuccino caliente con amaretto,"Nuestro capuccino con un toque dulce y almendrado de amaretto.",
Capuccino caliente con crema de whiskey,"Capuccino con el toque cálido de la crema de whiskey.",
Capuccino caliente con vainilla,"Capuccino con un aroma suave y envolvente de vainilla.",
Capuccino caliente de maní,"Capuccino cremoso con el sabor tostado del maní.",
Mocaccino caliente,"Espresso, chocolate y leche cremada; para los golosos.",
Americano caliente,"Espresso alargado con agua caliente; ligero y aromático.",
Americano doble caliente,"Doble carga de espresso con agua; intenso y para despertar.",
Colombianazo caliente,"Café con panela y nuestro toque de la casa; dulce y reconfortante.",
Latte caliente,"Espresso suave abrazado por abundante leche vaporizada.",
Afogatto,"Espresso caliente vertido sobre helado que se derrite lento.",
Afogatto maní,"Nuestro affogato con el toque tostado del maní.",
Espresso caliente,"Un shot corto e intenso de café de origen.",
Espresso doble caliente,"Doble shot para los que van en serio con el café.",
Café bombón,"Espresso sobre leche condensada; dulce y en capas.",
Te chai caliente,"Té negro con especias y leche; cálido y aromático.",
Milo caliente,"El clásico achocolatado, cremoso y nostálgico.",
Chocolate en agua caliente,"Chocolate fundido en agua; intenso y reconfortante.",
Chocolate en leche caliente,"Chocolate cremoso preparado en leche.",
Chocolate en leche caliente con masmelos,"Chocolate en leche coronado con masmelos que se funden.",
Aromática de frutos amarillos,"Infusión caliente de frutas amarillas; dulce y reconfortante.",
Aromática de frutos rojos,"Infusión caliente de frutos rojos; aromática y con un punto ácido.",
Capuccino frío,"Nuestro capuccino servido bien frío sobre hielo.",
Americano frío,"Espresso alargado y helado; refrescante y ligero.",
Latte frío,"Espresso y leche fría; suave y refrescante.",
Latte chai frío,"Chai especiado con leche, servido bien frío.",
Latte de óreo frío,"Latte frío con galleta óreo; dulce y cremoso.",
Latte de maní frío,"Latte frío con el sabor tostado del maní.",
Mocaccino frio,"Café, chocolate y leche, servidos bien fríos.",
Te chai frío,"Té chai especiado sobre hielo; especias que refrescan.",
Milo frío,"Milo cremoso y helado; nostalgia para el calor.",
Soda michelada,"Soda burbujeante con el toque ácido y salado de la michelada.",
Soda saborizada de frutos amarillos,"Soda efervescente con el dulzor de frutas amarillas.",
Soda saborizada de frutos rojos,"Soda efervescente con el sabor de frutos rojos.",
Limonada de cereza,"Limonada refrescante con el dulzor jugoso de la cereza.",
Limonada de mango biche,"Limonada con mango biche; ácida y con un toque picante.",
Limonada de coco,"Cremosa limonada de coco, batida al momento.",
Limonada de café,"Refrescante mezcla de limonada con un shot de café.",
Coca Cola 237ml,"La clásica, bien fría.",
Qatro 237 ml,"Refresco de lima-limón, burbujeante y fresco.",
Bretaña,"Soda dulce y burbujeante; un clásico de siempre.",
Soda Hatsu,"Soda funcional con un delicado toque floral.",
Te Hatsu,"Té frío ligero y refrescante.",
Botella de agua 600ml,"Agua pura para acompañar tu momento.",
Botella de agua 300ml,"Agua pura, en tamaño personal.",
Heineken 330ml,"Lager internacional, refrescante y con cuerpo.",
Costeñita,"La cervecita pequeña, perfecta para brindar.",
Póker,"La cerveza para compartir entre amigos.",
Águila,"Lager ligera y bien fría.",
Águila light,"Águila en versión ligera y suave.",
Club colombia de trigo,"Cerveza de trigo, suave y aromática.",
Club colombia dorada,"Lager premium, dorada y equilibrada.",
3 Cordilleras rosada,"Artesanal afrutada y ligera, fácil de disfrutar.",
3 Cordilleras roja,"Roja artesanal, maltosa y con carácter.",
3 Cordilleras negra,"Negra artesanal, tostada e intensa.",
Hidromiel,"Fermentado de miel; dulce, suave y diferente.",
1/2 de Agurdiente tapa roja,"Media botella de aguardiente para la mesa.",
1/2 de Ron Caldas,"Media botella de ron para compartir.",
Trago de aguardiente tapa roja,"Un trago del clásico anisado.",
Trago de Ron Caldas,"Un trago de ron añejo.",
Copa de vino tinto,"Una copa de tinto para acompañar la charla.",
Torta de temporada,"La creación especial del mes; pregúntale a tu mesero cuál es hoy.",temporada
Torta de almojábana,"Bizcocho tierno de almojábana, con el sabor del queso.",
Torta de chocolate,"Húmeda, intensa y profundamente chocolatosa.",
Torta de banano y chocolate,"Banano maduro y chocolate en un bizcocho húmedo.",
Vasca tradicional,"Cheesecake vasco de centro cremoso y superficie caramelizada.",
Vasca de limón,"Cheesecake vasco con un toque cítrico y fresco de limón.",
Vasca de chocolate,"Cheesecake vasco con chocolate; cremoso e intenso.",
Flan de queso ricotta,"Flan sedoso de ricotta; suave y delicado.",
Torta de limón y amapola,"Bizcocho cítrico con semillas de amapola.",
Brownie,"Brownie denso y chocolatoso, de bordes crujientes.",
Brownie con helado,"Brownie tibio con una bola de helado que se derrite encima.",
Alfajor,"Dos galletas suaves unidas por generoso arequipe.",
Galleta rellena de nutella,"Galleta suave con corazón fundido de nutella.",
Galleta rellena de nutella y helado,"Galleta de nutella con helado; imposible resistirse.",
Copa de frutos rojos,"Capas de crema, bizcocho y frutos rojos frescos.",
Copa de brownie,"Capas de brownie y crema en copa.",
Croissant con chantillí y fresas,"Croissant hojaldrado con chantillí y fresas frescas.",
Croissant de mantequilla,"Hojaldre mantecoso, crujiente por fuera y aireado por dentro.",
Pastel napolitano,"Hojaldre dorado relleno de jamón y queso.",
Palito de queso,"Palito horneado, dorado y lleno de queso.",
Pastel de carne y chicharrón,"Hojaldre relleno de carne y chicharrón crocante.",
"Pastel de queso, tocineta y arequipe","El trío perfecto dulce-salado: queso, tocineta y arequipe.",
Palito de carne y queso,"Palito horneado relleno de carne y queso.",
Pan de maiz con quesocrema,"Pan de maíz tibio acompañado de quesocrema.",
Buñuelo de pan de yuca,"Buñuelo de yuca, crujiente por fuera y suave por dentro.",
Waffle de yuca,"Waffle de yuca, dorado y crocante.",
Waffle de yuca con mermelada de frutos rojos,"Waffle de yuca con mermelada casera de frutos rojos.",
Waffle de yuca con mermelada de frutos amarillos,"Waffle de yuca con mermelada casera de frutos amarillos.",
Vaso michelado,"Escarcha tu vaso al estilo michelado.",
Deditos de queso x4,"Cuatro deditos crocantes rellenos de queso fundido.",
Empanadas napolitanas x2,"Dos empanadas rellenas de jamón y queso.",
Empanadas hawaianas x2,"Dos empanadas de jamón, queso y piña.",
Cold Brew,"Café extraído en frío por 18 horas; suave, dulce y sin amargor.",nuevo
Adición de mermelada de frutos rojos,"Suma mermelada casera de frutos rojos.",
Adición de mermelada de frutos amarillos,"Suma mermelada casera de frutos amarillos.",
Adición de arequipe,"Un extra generoso de arequipe.",
Aromática de bolsa,"Infusión caliente en bolsita; simple y reconfortante.",
Trago de crema de whiskey,"Un trago dulce y cremoso de crema de whiskey.",
Cerveza artesanal Spezia Stout (negra),"Stout artesanal: tostada, con notas a café y chocolate.",nuevo
Cerveza artesanal Spezia Blonde Ale (Rubia),"Blonde ale artesanal: ligera, dorada y fácil de beber.",nuevo
Galleta de nutella y helado al sartén,"Galleta tibia al sartén con nutella y una bola de helado.",nuevo
Cereal del Capitán Crunch,"Un bowl nostálgico del cereal favorito de la infancia.",nuevo
Fresa,"Fresas frescas para acompañar.",
Adición de pistachos,"Un puñado de pistachos para coronar.",
Carimañola de carne,"Masa de yuca frita rellena de carne.",
Carimañola de queso,"Masa de yuca frita rellena de queso.",
Adición de pistachos y almendras,"Pistachos y almendras para coronar.",
Adición de arequipe y almendras,"Arequipe con almendras crocantes.",
